ciudad,articulo,codigo_articulo,subclase_ipc,method,ipc_last_date,issue
CALI,GUAYABAS,1410501,011609,gasto_basico,2025-06-01,NA
CALI,HABICHUELAS FRESCAS,1310501,011716,gasto_basico,2025-06-01,NA
CALI,HUEVOS,1710101,011405,gasto_basico,2025-06-01,NA
CALI,LECHE EN POLVO ENTERA,1720103,011401,gasto_basico,2025-06-01,NA
CALI,LECHE EN POLVO LACTANTE,1720104,011401,gasto_basico,2025-06-01,NA
CALI,LECHE LARGA VIDA,1720102,011401,gasto_basico,2025-06-01,NA
CALI,LECHE PASTEURIZADA,1720101,011401,gasto_basico,2025-06-01,NA
CALI,LECHUGA,1310504,011716,gasto_basico,2025-06-01,NA
CALI,LENTEJAS,1320301,011702,gasto_basico,2025-06-01,NA
CALI,LIMONES,1410502,011609,gasto_basico,2025-06-01,NA
CALI,LULOS,1410509,011609,gasto_basico,2025-06-01,NA
CALI,MANTECA VEGETAL,1730202,011505,gasto_basico,2025-06-01,NA
CALI,MANZANAS,1410508,011609,gasto_basico,2025-06-01,NA
CALI,MARACUYA,1410506,011609,gasto_basico,2025-06-01,NA
CALI,MORAS,1410401,011608,gasto_basico,2025-06-01,NA
CALI,NARANJAS,1410101,011605,gasto_basico,2025-06-01,NA
CALI,PAN CORRIENTE,1120101,011108,gasto_basico,2025-06-01,NA
CALI,PAN FRANCÉS,1120102,011108,gasto_basico,2025-06-01,NA
CALI,PAN INTEGRAL,1120103,011108,gasto_basico,2025-06-01,NA
CALI,PAPA,1210101,011705,gasto_basico,2025-06-01,NA
CALI,PAPA CRIOLLA,1210102,011705,gasto_basico,2025-06-01,NA
CALI,PASTA PARA SECO,1110301,011102,gasto_basico,2025-06-01,NA
CALI,PASTA PARA SOPA,1110302,011102,gasto_basico,2025-06-01,NA
CALI,PESCADO DE MAR,1610101,011303,gasto_basico,2025-06-01,NA
CALI,PESCADO DE RÍO,1610102,011303,gasto_basico,2025-06-01,NA
CALI,PESCADO ENLATADO,1610103,011303,gasto_basico,2025-06-01,NA
CALI,PIÑAS,1410507,011609,gasto_basico,2025-06-01,NA
CALI,PLÁTANO,1220101,011704,gasto_basico,2025-06-01,NA
CALI,POLLO DESPRESADO POR LIBRA,1510302,011203,gasto_basico,2025-06-01,NA
CALI,POLLO ENTERO POR LIBRA,1510301,011203,gasto_basico,2025-06-01,NA
CALI,QUESO CAMPESINO,1720201,011402,gasto_basico,2025-06-01,NA
CALI,REPOLLO,1310503,011716,gasto_basico,2025-06-01,NA
CALI,TOMATE,1310201,011713,gasto_basico,2025-06-01,NA
CALI,TOMATE DE ÁRBOL,1410301,011607,gasto_basico,2025-06-01,NA
CALI,YUCA,1210201,011706,gasto_basico,2025-06-01,NA
CALI,ZANAHORIA,1310301,011715,gasto_basico,2025-06-01,NA
MEDELLÍN,ACEITE DE GIRASOL,1730102,011501,gasto_basico,2025-06-01,NA
MEDELLÍN,ACEITE DE SOYA O DE MAÍZ,1730101,011501,gasto_basico,2025-06-01,NA
MEDELLÍN,AGUACATE,1410503,011609,gasto_basico,2025-06-01,NA
MEDELLÍN,ARRACACHA,1210303,011712,gasto_basico,2025-06-01,NA
MEDELLÍN,ARROZ INTEGRAL,1110103,011101,gasto_basico,2025-06-01,NA
MEDELLÍN,ARROZ PARA SECO,1110101,011101,gasto_basico,2025-06-01,NA
MEDELLÍN,ARVEJA FRESCA,1320201,011716,gasto_basico,2025-06-01,NA
MEDELLÍN,ARVEJA SECA,1320202,011716,gasto_basico,2025-06-01,NA
MEDELLÍN,ARVEJA TARRO,1320402,011703,gasto_basico,2025-06-01,NA
MEDELLÍN,AVENA HOJUELAS,1110501,011103,producto,2025-06-01,NA
MEDELLÍN,AVENA MOLIDA,1110502,011103,producto,2025-06-01,NA
MEDELLÍN,AZÚCAR NATURAL O MORENA,1810202,011801,gasto_basico,2025-06-01,NA
MEDELLÍN,AZÚCAR REFINADA,1810201,011801,gasto_basico,2025-06-01,NA
MEDELLÍN,BANANOS,1410201,011606,gasto_basico,2025-06-01,NA
MEDELLÍN,CARNE DE CERDO CON HUESO,1510202,011202,gasto_basico,2025-06-01,NA
MEDELLÍN,CARNE DE CERDO SIN HUESO,1510201,011202,gasto_basico,2025-06-01,NA
MEDELLÍN,CARNE DE RES CON HUESO,1510102,011201,gasto_basico,2025-06-01,NA
MEDELLÍN,CARNE DE RES SIN HUESO,1510101,011201,gasto_basico,2025-06-01,NA
MEDELLÍN,CEBOLLA CABEZONA,1310102,011714,gasto_basico,2025-06-01,NA
MEDELLÍN,CEBOLLA LARGA,1310101,011714,gasto_basico,2025-06-01,NA
MEDELLÍN,FRÍJOL FRESCO,1320101,011716,gasto_basico,2025-06-01,NA
MEDELLÍN,FRÍJOL SECO,1320102,011716,gasto_basico,2025-06-01,NA
MEDELLÍN,FRÍJOL TARRO,1320401,011703,gasto_basico,2025-06-01,NA
MEDELLÍN,GUAYABAS,1410501,011609,gasto_basico,2025-06-01,NA
MEDELLÍN,HABICHUELAS FRESCAS,1310501,011716,gasto_basico,2025-06-01,NA
MEDELLÍN,HUEVOS,1710101,011405,gasto_basico,2025-06-01,NA
MEDELLÍN,LECHE EN POLVO ENTERA,1720103,011401,gasto_basico,2025-06-01,NA
MEDELLÍN,LECHE EN POLVO LACTANTE,1720104,011401,gasto_basico,2025-06-01,NA
MEDELLÍN,LECHE LARGA VIDA,1720102,011401,gasto_basico,2025-06-01,NA
MEDELLÍN,LECHE PASTEURIZADA,1720101,011401,gasto_basico,2025-06-01,NA
MEDELLÍN,LECHUGA,1310504,011716,gasto_basico,2025-06-01,NA
MEDELLÍN,LENTEJAS,1320301,011702,gasto_basico,2025-06-01,NA
MEDELLÍN,LIMONES,1410502,011609,gasto_basico,2025-06-01,NA
MEDELLÍN,MANTECA VEGETAL,1730202,011505,gasto_basico,2025-06-01,NA
MEDELLÍN,MANZANAS,1410508,011609,gasto_basico,2025-06-01,NA
MEDELLÍN,MARACUYA,1410506,011609,gasto_basico,2025-06-01,NA
MEDELLÍN,MORAS,1410401,011608,gasto_basico,2025-06-01,NA
MEDELLÍN,NARANJAS,1410101,011605,gasto_basico,2025-06-01,NA
MEDELLÍN,PAN CORRIENTE,1120101,011108,gasto_basico,2025-06-01,NA
MEDELLÍN,PAN FRANCÉS,1120102,011108,gasto_basico,2025-06-01,NA
MEDELLÍN,PAN INTEGRAL,1120103,011108,gasto_basico,2025-06-01,NA
MEDELLÍN,PAPA,1210101,011705,gasto_basico,2025-06-01,NA
MEDELLÍN,PAPA CRIOLLA,1210102,011705,gasto_basico,2025-06-01,NA
MEDELLÍN,PASTA PARA SECO,1110301,011102,gasto_basico,2025-06-01,NA
MEDELLÍN,PASTA PARA SOPA,1110302,011102,gasto_basico,2025-06-01,NA
MEDELLÍN,PESCADO DE MAR,1610101,011303,gasto_basico,2025-06-01,NA
MEDELLÍN,PESCADO DE RÍO,1610102,011303,gasto_basico,2025-06-01,NA
MEDELLÍN,PESCADO ENLATADO,1610103,011303,gasto_basico,2025-06-01,NA
MEDELLÍN,PIÑAS,1410507,011609,gasto_basico,2025-06-01,NA
MEDELLÍN,PLÁTANO,1220101,011704,gasto_basico,2025-06-01,NA
MEDELLÍN,POLLO DESPRESADO POR LIBRA,1510302,011203,gasto_basico,2025-06-01,NA
MEDELLÍN,POLLO ENTERO POR LIBRA,1510301,011203,gasto_basico,2025-06-01,NA
MEDELLÍN,QUESO CAMPESINO,1720201,011402,gasto_basico,2025-06-01,NA
MEDELLÍN,REPOLLO,1310503,011716,gasto_basico,2025-06-01,NA
MEDELLÍN,TOMATE,1310201,011713,gasto_basico,2025-06-01,NA
MEDELLÍN,TOMATE DE ÁRBOL,1410301,011607,gasto_basico,2025-06-01,NA
MEDELLÍN,YUCA,1210201,011706,gasto_basico,2025-06-01,NA
MEDELLÍN,ZANAHORIA,1310301,011715,gasto_basico,2025-06-01,NA
