ciudad,articulo,subclase_ipc,method,ipc_last_date,issue
BOGOTA D.C.,LECHUGA,011716,gasto_basico,2026-05-01,NA
BOGOTA D.C.,LENTEJAS,011702,gasto_basico,2026-05-01,NA
BOGOTA D.C.,LIMONES,011609,gasto_basico,2026-05-01,NA
BOGOTA D.C.,LULOS,011609,gasto_basico,2026-05-01,NA
BOGOTA D.C.,MANTECA VEGETAL,011505,gasto_basico,2026-05-01,NA
BOGOTA D.C.,MANZANAS,011609,gasto_basico,2026-05-01,NA
BOGOTA D.C.,MARACUYA,011609,gasto_basico,2026-05-01,NA
BOGOTA D.C.,MORAS,011608,gasto_basico,2026-05-01,NA
BOGOTA D.C.,NARANJAS,011605,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PAN CORRIENTE,011108,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PAN FRANCÉS,011108,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PAN INTEGRAL,011108,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PANELA,011802,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PAPA,011705,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PAPA CRIOLLA,011705,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PAPAYAS,011609,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PASTA PARA SECO,011102,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PASTA PARA SOPA,011102,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PESCADO DE MAR,011303,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PESCADO DE RÍO,011303,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PESCADO ENLATADO,011303,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PIÑAS,011609,gasto_basico,2026-05-01,NA
BOGOTA D.C.,PLÁTANO,011704,gasto_basico,2026-05-01,NA
BOGOTA D.C.,POLLO DESPRESADO POR LIBRA,011203,gasto_basico,2026-05-01,NA
BOGOTA D.C.,POLLO ENTERO POR LIBRA,011203,gasto_basico,2026-05-01,NA
BOGOTA D.C.,QUESO CAMPESINO,011402,gasto_basico,2026-05-01,NA
BOGOTA D.C.,REPOLLO,011716,gasto_basico,2026-05-01,NA
BOGOTA D.C.,SAL,011902,gasto_basico,2026-05-01,NA
BOGOTA D.C.,TOMATE,011713,gasto_basico,2026-05-01,NA
BOGOTA D.C.,TOMATE DE ÁRBOL,011607,gasto_basico,2026-05-01,NA
BOGOTA D.C.,VISCERAS - HIGADO,011201,gasto_basico,2026-05-01,NA
BOGOTA D.C.,YUCA,011706,gasto_basico,2026-05-01,NA
BOGOTA D.C.,ZANAHORIA,011715,gasto_basico,2026-05-01,NA
CALI,ACEITE DE GIRASOL,011501,gasto_basico,2026-05-01,NA
CALI,ACEITE DE SOYA O DE MAÍZ,011501,gasto_basico,2026-05-01,NA
CALI,AGUACATE,011609,gasto_basico,2026-05-01,NA
CALI,AHUYAMA,011716,gasto_basico,2026-05-01,NA
CALI,AJO,011716,gasto_basico,2026-05-01,NA
CALI,ARRACACHA,011712,gasto_basico,2026-05-01,NA
CALI,ARROZ INTEGRAL,011101,gasto_basico,2026-05-01,NA
CALI,ARROZ PARA SECO,011101,gasto_basico,2026-05-01,NA
CALI,ARVEJA FRESCA,011716,gasto_basico,2026-05-01,NA
CALI,ARVEJA SECA,011716,gasto_basico,2026-05-01,NA
CALI,ARVEJA TARRO,011703,gasto_basico,2026-05-01,NA
CALI,AVENA HOJUELAS,011103,producto,2026-05-01,NA
CALI,AVENA MOLIDA,011103,producto,2026-05-01,NA
CALI,AZÚCAR NATURAL O MORENA,011801,gasto_basico,2026-05-01,NA
CALI,AZÚCAR REFINADA,011801,gasto_basico,2026-05-01,NA
CALI,BANANOS,011606,gasto_basico,2026-05-01,NA
CALI,CAFÉ MOLIDO,012101,gasto_basico,2020-12-01,NA
CALI,CAMARONES O VARIEDAD DISPONIBLE,011303,gasto_basico,2026-05-01,NA
CALI,CARNE DE CERDO CON HUESO,011202,gasto_basico,2026-05-01,NA
CALI,CARNE DE CERDO SIN HUESO,011202,gasto_basico,2026-05-01,NA
CALI,CARNE DE RES CON HUESO,011201,gasto_basico,2026-05-01,NA
CALI,CARNE DE RES SIN HUESO,011201,gasto_basico,2026-05-01,NA
CALI,CEBOLLA CABEZONA,011714,gasto_basico,2026-05-01,NA
CALI,CEBOLLA LARGA,011714,gasto_basico,2026-05-01,NA
CALI,CURUBAS,011609,gasto_basico,2026-05-01,NA
CALI,FRÍJOL FRESCO,011716,gasto_basico,2026-05-01,NA
CALI,FRÍJOL SECO,011716,gasto_basico,2026-05-01,NA
CALI,FRÍJOL TARRO,011703,gasto_basico,2026-05-01,NA
CALI,GUAYABAS,011609,gasto_basico,2026-05-01,NA
CALI,HABICHUELAS FRESCAS,011716,gasto_basico,2026-05-01,NA
CALI,HARINA DE TRIGO,011105,producto,2026-05-01,NA
CALI,HARINA PRECOCIDA,011106,producto,2026-05-01,NA
CALI,HUEVOS,011405,gasto_basico,2026-05-01,NA
CALI,LECHE EN POLVO ENTERA,011401,gasto_basico,2026-05-01,NA
CALI,LECHE EN POLVO LACTANTE,011401,gasto_basico,2026-05-01,NA
CALI,LECHE LARGA VIDA,011401,gasto_basico,2026-05-01,NA
CALI,LECHE PASTEURIZADA,011401,gasto_basico,2026-05-01,NA
CALI,LECHUGA,011716,gasto_basico,2026-05-01,NA
CALI,LENTEJAS,011702,gasto_basico,2026-05-01,NA
CALI,LIMONES,011609,gasto_basico,2026-05-01,NA
CALI,LULOS,011609,gasto_basico,2026-05-01,NA
CALI,MANTECA VEGETAL,011505,gasto_basico,2026-05-01,NA
CALI,MANZANAS,011609,gasto_basico,2026-05-01,NA
CALI,MARACUYA,011609,gasto_basico,2026-05-01,NA
CALI,MORAS,011608,gasto_basico,2026-05-01,NA
CALI,NARANJAS,011605,gasto_basico,2026-05-01,NA
CALI,PAN CORRIENTE,011108,gasto_basico,2026-05-01,NA
CALI,PAN FRANCÉS,011108,gasto_basico,2026-05-01,NA
CALI,PAN INTEGRAL,011108,gasto_basico,2026-05-01,NA
CALI,PANELA,011802,gasto_basico,2026-05-01,NA
CALI,PAPA,011705,gasto_basico,2026-05-01,NA
CALI,PAPA CRIOLLA,011705,gasto_basico,2026-05-01,NA
CALI,PASTA PARA SECO,011102,gasto_basico,2026-05-01,NA
CALI,PASTA PARA SOPA,011102,gasto_basico,2026-05-01,NA
CALI,PESCADO DE MAR,011303,gasto_basico,2026-05-01,NA
CALI,PESCADO DE RÍO,011303,gasto_basico,2026-05-01,NA
CALI,PESCADO ENLATADO,011303,gasto_basico,2026-05-01,NA
CALI,PIÑAS,011609,gasto_basico,2026-05-01,NA
CALI,PLÁTANO,011704,gasto_basico,2026-05-01,NA
CALI,POLLO DESPRESADO POR LIBRA,011203,gasto_basico,2026-05-01,NA
CALI,POLLO ENTERO POR LIBRA,011203,gasto_basico,2026-05-01,NA
CALI,QUESO CAMPESINO,011402,gasto_basico,2026-05-01,NA
CALI,REPOLLO,011716,gasto_basico,2026-05-01,NA
CALI,SAL,011902,gasto_basico,2026-05-01,NA
CALI,TOMATE,011713,gasto_basico,2026-05-01,NA
CALI,TOMATE DE ÁRBOL,011607,gasto_basico,2026-05-01,NA
CALI,YUCA,011706,gasto_basico,2026-05-01,NA
CALI,ZANAHORIA,011715,gasto_basico,2026-05-01,NA
MEDELLIN,ACEITE DE GIRASOL,011501,gasto_basico,2026-05-01,NA
MEDELLIN,ACEITE DE SOYA O DE MAÍZ,011501,gasto_basico,2026-05-01,NA
MEDELLIN,AGUACATE,011609,gasto_basico,2026-05-01,NA
MEDELLIN,ARRACACHA,011712,gasto_basico,2026-05-01,NA
MEDELLIN,ARROZ INTEGRAL,011101,gasto_basico,2026-05-01,NA
MEDELLIN,ARROZ PARA SECO,011101,gasto_basico,2026-05-01,NA
MEDELLIN,ARVEJA FRESCA,011716,gasto_basico,2026-05-01,NA
MEDELLIN,ARVEJA SECA,011716,gasto_basico,2026-05-01,NA
MEDELLIN,ARVEJA TARRO,011703,gasto_basico,2026-05-01,NA
MEDELLIN,AVENA HOJUELAS,011103,producto,2026-05-01,NA
MEDELLIN,AVENA MOLIDA,011103,producto,2026-05-01,NA
MEDELLIN,AZÚCAR NATURAL O MORENA,011801,gasto_basico,2026-05-01,NA
MEDELLIN,AZÚCAR REFINADA,011801,gasto_basico,2026-05-01,NA
MEDELLIN,BANANOS,011606,gasto_basico,2026-05-01,NA
MEDELLIN,CAFÉ MOLIDO,012101,gasto_basico,2020-12-01,NA
MEDELLIN,CAMARONES O VARIEDAD DISPONIBLE,011303,gasto_basico,2026-05-01,NA
MEDELLIN,CARNE DE CERDO CON HUESO,011202,gasto_basico,2026-05-01,NA
MEDELLIN,CARNE DE CERDO SIN HUESO,011202,gasto_basico,2026-05-01,NA
MEDELLIN,CARNE DE RES CON HUESO,011201,gasto_basico,2026-05-01,NA
MEDELLIN,CARNE DE RES SIN HUESO,011201,gasto_basico,2026-05-01,NA
MEDELLIN,CEBOLLA CABEZONA,011714,gasto_basico,2026-05-01,NA
MEDELLIN,CEBOLLA LARGA,011714,gasto_basico,2026-05-01,NA
MEDELLIN,FECULA DE MAÍZ,011105,producto,2026-05-01,NA
MEDELLIN,FRÍJOL FRESCO,011716,gasto_basico,2026-05-01,NA
MEDELLIN,FRÍJOL SECO,011716,gasto_basico,2026-05-01,NA
MEDELLIN,FRÍJOL TARRO,011703,gasto_basico,2026-05-01,NA
MEDELLIN,GUAYABAS,011609,gasto_basico,2026-05-01,NA
MEDELLIN,HABICHUELAS FRESCAS,011716,gasto_basico,2026-05-01,NA
MEDELLIN,HARINA DE TRIGO,011105,producto,2026-05-01,NA
MEDELLIN,HARINA PRECOCIDA,011106,producto,2026-05-01,NA
MEDELLIN,HUEVOS,011405,gasto_basico,2026-05-01,NA
MEDELLIN,LECHE EN POLVO ENTERA,011401,gasto_basico,2026-05-01,NA
MEDELLIN,LECHE EN POLVO LACTANTE,011401,gasto_basico,2026-05-01,NA
MEDELLIN,LECHE LARGA VIDA,011401,gasto_basico,2026-05-01,NA
MEDELLIN,LECHE PASTEURIZADA,011401,gasto_basico,2026-05-01,NA
MEDELLIN,LECHUGA,011716,gasto_basico,2026-05-01,NA
MEDELLIN,LENTEJAS,011702,gasto_basico,2026-05-01,NA
MEDELLIN,LIMONES,011609,gasto_basico,2026-05-01,NA
MEDELLIN,MANTECA VEGETAL,011505,gasto_basico,2026-05-01,NA
MEDELLIN,MANZANAS,011609,gasto_basico,2026-05-01,NA
MEDELLIN,MARACUYA,011609,gasto_basico,2026-05-01,NA
MEDELLIN,MORAS,011608,gasto_basico,2026-05-01,NA
MEDELLIN,NARANJAS,011605,gasto_basico,2026-05-01,NA
MEDELLIN,PAN CORRIENTE,011108,gasto_basico,2026-05-01,NA
MEDELLIN,PAN FRANCÉS,011108,gasto_basico,2026-05-01,NA
MEDELLIN,PAN INTEGRAL,011108,gasto_basico,2026-05-01,NA
MEDELLIN,PANELA,011802,gasto_basico,2026-05-01,NA
MEDELLIN,PAPA,011705,gasto_basico,2026-05-01,NA
MEDELLIN,PAPA CRIOLLA,011705,gasto_basico,2026-05-01,NA
MEDELLIN,PASTA PARA SECO,011102,gasto_basico,2026-05-01,NA
MEDELLIN,PASTA PARA SOPA,011102,gasto_basico,2026-05-01,NA
MEDELLIN,PESCADO DE MAR,011303,gasto_basico,2026-05-01,NA
MEDELLIN,PESCADO DE RÍO,011303,gasto_basico,2026-05-01,NA
MEDELLIN,PESCADO ENLATADO,011303,gasto_basico,2026-05-01,NA
MEDELLIN,PIÑAS,011609,gasto_basico,2026-05-01,NA
MEDELLIN,PLÁTANO,011704,gasto_basico,2026-05-01,NA
MEDELLIN,POLLO DESPRESADO POR LIBRA,011203,gasto_basico,2026-05-01,NA
MEDELLIN,POLLO ENTERO POR LIBRA,011203,gasto_basico,2026-05-01,NA
MEDELLIN,QUESO CAMPESINO,011402,gasto_basico,2026-05-01,NA
MEDELLIN,REPOLLO,011716,gasto_basico,2026-05-01,NA
MEDELLIN,SAL,011902,gasto_basico,2026-05-01,NA
MEDELLIN,TOMATE,011713,gasto_basico,2026-05-01,NA
MEDELLIN,TOMATE DE ÁRBOL,011607,gasto_basico,2026-05-01,NA
MEDELLIN,YUCA,011706,gasto_basico,2026-05-01,NA
MEDELLIN,ZANAHORIA,011715,gasto_basico,2026-05-01,NA
